Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
4478_S20_L001_R1_001	4478_S20_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79604.0	0.0	35-299	52.0	4.807547359429174	293.9268880960756	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
4478_S20_L001_R2_001	4478_S20_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79604.0	0.0	35-299	52.0	3.8075976081603935	293.91382342595847	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
4654_S9_L001_R1_001	4654_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80409.0	0.0	35-299	51.0	4.9733238816550385	293.9625663793854	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
4654_S9_L001_R2_001	4654_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80409.0	0.0	35-299	51.0	3.0332425474760285	293.94179755997465	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
4688_S15_L001_R1_001	4688_S15_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105303.0	0.0	35-299	50.0	3.7672241056760014	293.9815769731157	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
4688_S15_L001_R2_001	4688_S15_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105303.0	0.0	35-299	50.0	4.50129625936583	293.96305898217526	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
5264_S21_L001_R1_001	5264_S21_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129874.0	0.0	65-299	52.0	4.128616967214377	296.8957066079431	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
5264_S21_L001_R2_001	5264_S21_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129874.0	0.0	65-299	51.0	4.647581502071238	296.863714061321	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
5318_S12_L001_R1_001	5318_S12_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84433.0	0.0	35-299	51.0	5.532197126715857	293.83063494131443	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
5318_S12_L001_R2_001	5318_S12_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84433.0	0.0	35-299	52.0	5.168595217509742	293.77947011239684	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
539_cat_L001_R1_001	539_cat_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	412890.0	0.0	35-301	53.0	4.677032623701228	297.683734166485	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
539_cat_L001_R2_001	539_cat_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	412890.0	0.0	35-301	52.0	6.5310373222892295	298.14327060476154	pass	fail	pass	pass	fail	fail	pass	warn	fail	fail	pass
6260_S16_L001_R1_001	6260_S16_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120711.0	0.0	35-299	50.0	3.597020984003115	293.9748158825625	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
6260_S16_L001_R2_001	6260_S16_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120711.0	0.0	35-299	50.0	4.22910919468814	293.9289211422323	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
6731_S13_L001_R1_001	6731_S13_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73613.0	0.0	35-299	51.0	4.70297365954383	293.96753290858953	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
6731_S13_L001_R2_001	6731_S13_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73613.0	0.0	35-299	51.0	4.783122546289379	293.9433523969951	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
7691_S17_L001_R1_001	7691_S17_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94885.0	0.0	35-299	52.0	4.054381619855615	293.8388575644201	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
7691_S17_L001_R2_001	7691_S17_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	94885.0	0.0	35-299	53.0	4.297834220372029	293.81282605258997	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
